episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description,type,,One Piece Ep.,IMDB Rating
65,3,12,"""Lockdown of Darkness""Transcription: ""Ankoku no sejō"" (Japanese: 暗黒の施錠)",Shinji Satou,Masahiro Hikokubo,03/07/2008,26/01/2011,6.9,288,"Under cover of a giant power outage, Furido begins his assault on the Hidden Leaf. The village immediately goes on alert, but Furido's men put up a barrier, and everyone in the village is trapped inside. Naruto and Asuma finally catch up to Sora, who is planning an escape in the midst of the panic. He explodes with anger at Naruto's demand to know why he attacked Tsunade. But Asuma is quick to suspect that there is someone behind Sora, someone who knows about the coup d'état incident involving two groups within the Guardian Shinobi Twelve, and realizes that the ...",Filler,,65,"
                            8.3
                        "
66,3,13,"""Revived Souls""Transcription: ""Yomigaeru tamashii"" (Japanese: 黄泉がえる魂)",Eitaro Ano,Yasuyuki Suzuki,10/07/2008,02/02/2011,6.7,288,"In order to stop the impending disaster, Asuma rushes toward the electric generator system. There he sees the Guardian Shinobi Twelve who have come to life once more through Revival Jutsu after their graves were robbed.",Filler,,66,"
                            8.1
                        "
67,3,14,"""Everyone's Struggle to the Death""Transcription: ""Sorezore no shitō"" (Japanese: それぞれの死闘)",Masaaki Kumagai,Yasuyuki SuzukiMasahiro Hikokubo,24/07/2008,09/02/2011,6.7,285,"Sora refuses to let Furido destroy the village despite his grudge against Asuma and the Hokage. He is beaten up by Furido, who claims that his father had a similar flaw. Asuma gets trapped by Kitane in a force field of lightning. Meanwhile, Yamato and Sakura kill their opponents, and Shikamaru heads to the battlefield with a plan to defeat the zombies. Just as he puts it into motion, however, Fuen's barrier falls and Fudo's revival technique ends, and the zombies turn to dust.",Filler,,67,"
                            7.9
                        "
68,3,15,"""Moment of Awakening""Transcription: ""Mezame no toki"" (Japanese: 覚醒（めざ）めの刻（とき）)",Kiyomu Fukuda,Yasuyuki Suzuki,31/07/2008,16/02/2011,6.7,285,"Naruto deduces that Fuuka's secret consists of switching bodies to use each corresponding element and that her hair preserves her youth and body. Naruto damages her hair and it takes a life of its own dispensing the body, but Naruto finally kills it with a Rasengan. Meanwhile, Asuma manages to break free of the electric barrier, catch up with Kitane and defeat him in a short fight. Realizing that Kitane is no more, and that his three other companions were killed, Furido causes the 3 other ninja guardians to disappear. But Furido has a back up plan, Sora.",Filler,,68,"
                            6.9
                        "
69,3,16,"""Despair""Transcription: ""Zetsubō"" (Japanese: 絶望)",Masaki Takano,Masahiro Hikokubo,31/07/2008,23/02/2011,6.5,290,"Naruto and Asuma catch up to Sora, only to find him shrouded in ominous chakra and undergoing a change.",Filler,,69,"
                            6.9
                        "
70,3,17,"""Resonance""Transcription: ""Kyōmei"" (Japanese: 共鳴)",Shigeharu Takahashi,Yasuyuki Suzuki,07/08/2008,02/03/2011,6.6,292,"Furido's true form belongs to Kazuma, one of the Guardian Shinobi Twelve who had planned the coup d'Ã©tat. Asuma puts his honor on the line and goes back ten years to battle Furido once more.",Filler,,70,"
                            7.3
                        "
71,3,18,"""My Friend""Transcription: ""Tomo yo"" (Japanese: 友よ)",Atsushi Nigorikawa,Yasuyuki Suzuki,14/08/2008,09/03/2011,6.5,304,"The struggle between Naruto and Sora continues. Asuma and Kazuma fight. Sai arrives, having sneaked out of hospital, and binds Kazuma with an ink snake. Kazuma breaks out of Sai's jutsu and charges Asuma, but is killed. Naruto eventually reaches Sora, who manages to release the Nine Tails's chakra. Sora then leaves the village to travel the world. Asuma and Shikamaru play shogi and discuss who the king of Konoha is. Elsewhere, two Akatsuki members, Hidan and Kakuzu, appear chasing the Two Tails Jinchuuriki.",Filler,,71,"
                            7.5
                        "
72,4,1,"""The Quietly Approaching Threat""Transcription: ""Shinobiyoru kyōi"" (Japanese: 忍び寄る脅威)",Hiroshi Kimura,Masahiro Hikokubo,21/08/2008,16/03/2011,7.3,372,"Work continues in Hidden Leaf Village to erase the scars of battle. As he watches Konohamaru and the others helping with the reconstruction, Iruka sees how his students have matured.",Manga Canon,,72,"
                            7.4
                        "
73,4,2,"""Akatsuki's Invasion""Transcription: ""Akatsuki shinkō"" (Japanese: “暁”侵攻)",Masaki Takuno,Masahiro Hikokubo,28/08/2008,23/03/2011,7.6,403,"With Kakashi's return, Naruto resumes training for his new jutsu. Kakashi explains that the transformation training will enter the next stage. This time, only Wind Chakra will be used to cut through a waterfall. Hidan and Kakuzu, who have captured Two Tails, leave it with Zetsu and head for the Land of Fire in search of Nine Tails. The first place they reach is the Fire Temple, where the priests go into a near panic, and Chiriku confronts the Akatsuki.",Manga Canon,,73,"
                            7.5
                        "
74,4,3,"""Under the Starry Sky""Transcription: ""Hoshizora no moto de"" (Japanese: 星空の下（もと）で)",Eitaro Ano,Masahiro Hikokubo,04/09/2008,30/03/2011,7.4,379,The lone surviving priest is carried into Hidden Leaf Village where he reports the destruction of the Fire Temple.,Manga Canon,,74,"
                            7.7
                        "
75,4,4,"""The Old Monk's Prayer""Transcription: ""Rōsō no inori"" (Japanese: 老僧の祈り)",Masaaki Kumagai,Yasuyuki Suzuki,11/09/2008,06/04/2011,7.3,374,"In order to capture the Akatsuki, the Hidden Leaf cast a net that even an ant could not crawl through. Still, the Akatsuki elude them and frustrate Tsunade to no end. Around that time, Asuma and the others arrive at the Fire Temple, only to find it completely destroyed. Chiriku's corpse is missing, and Asuma surmises that the Akatsuki were after the bounty on Chiriku's head. They immediately dispatch a messenger to Hidden Leaf to submit a report and head for the nearest center where the Akatsuki can turn in Chiriku's body for payment. Back at Hidden Leaf, Naruto takes...",Manga Canon,,75,"
                            7.8
                        "
76,4,5,"""The Next Step""Transcription: ""Tsuginaru Suteppu"" (Japanese: 次なる階段（ステップ）)",Kiyomu Fukuda,Yasuyuki Suzuki,25/09/2008,16/04/2011,7.6,389,"Naruto is learning the elements of Wind Style Jutsu, and Kakashi lectures him on the difficulties of developing a new jutsu. According to Kakashi even the Fourth Hokage was not able to embed elemental chakra into his jutsu. Naruto feels a heavy sense of responsibility and puts his entire being into developing the new jutsu. Meanwhile, the Akatsuki duo turns in Chiriku's body to collect the bounty. What is the fate of the Hidden Leaf team who are pursuing them...?",Manga Canon,,76,"
                            7.8
                        "
77,4,6,"""Climbing Silver""Transcription: ""Bōgin"" (Japanese: 棒銀)",Yuki Kinoshita,Masahiro Hikokubo,25/09/2008,23/04/2011,8.2,431,"Asuma and his team finally confront Hidan, and a battle ensues. They fight with all their strength but are shocked at Hidan's power.",Manga Canon,,77,"
                            7.6
                        "
78,4,7,"""The Judgment""Transcription: ""Kudasareta sabaki"" (Japanese: 下された裁き)",Shigeharu Takahashi,Masahiro Hikokubo,02/10/2008,30/04/2011,8.5,579,"Hidan releases a baffling jutsu, and Asuma bears the brunt of the attack. The jutsu is a special trick which links Hidan with Asuma's body.",Manga Canon,,78,"
                            7.4
                        "
79,4,8,"""Unfulfilled Scream""Transcription: ""Todokanu zekkyō"" (Japanese: 届かぬ絶叫)",Atsushi Nigorikawa,Masahiro Hikokubo,02/10/2008,07/05/2011,8.6,562,"Hidan's immortality enables him to stay alive even with his head cut off, although he cannot move his body. Kakuzu sews Hidan's head back on with threads that sprout from his body. Izumo and Kotetsu try to attack Kakuzu, but he manages to grab them both by using his body threads, restraining them and suffocating them as well. Hidan, now able to move again, returns to the circle and stabs himself with the blades of his scythe; he finishes it off by stabbing himself in the chest with another spike, fatally wounding Asuma.",Manga Canon,,79,"
                            7.7
                        "
80,4,9,"""Last Words""Transcription: ""Saigo no kotoba"" (Japanese: 最期の言葉)",Hiroshi Kimura,Masahiro Hikokubo,16/10/2008,14/05/2011,8.8,702,"Asuma is mortally wounded by Hidan's jutsu, and the Akatsuki have the rest of the Hidden Leaf in a bind.",Manga Canon,,80,"
                            7.9
                        "
81,4,10,"""Sad News""Transcription: ""Kanashiki shirase"" (Japanese: 悲しき報せ)",Shinji Satou,Masahiro Hikokubo,23/10/2008,21/05/2011,8,418,"In a faraway land, the Akatsuki reveal their true aim of world conquest. And back at Hidden Leaf Village, Shikamaru gives his report of the mission to Tsunade.",Manga Canon,,81,"
                            7.8
                        "
82,4,11,"""Team Ten""Transcription: ""Daijuppan"" (Japanese: 第十班)",Toshiyuki Tsuru,Toshiyuki Tsuru,30/10/2008,04/06/2011,8.6,668,"Asuma's funeral is held in Hidden Leaf Village amid deep sadness. Shikamaru is the lone absentee, unable to get over the loss.",Manga Canon,,82,"
                            7.8
                        "
83,4,12,"""Target: Locked On""Transcription: ""Tāgetto Rokkuon"" (Japanese: 標的捕捉（ターゲット・ロックオン）)",Takahiro Ono,Yuka Miyata,06/11/2008,18/06/2011,8.2,421,Kakashi and Team 10 set out to stop the Akatsuki. Tsunade considers Naruto's Team 7 to be the ideal back-up for Team 10 and orders Naruto to perfect his new jutsu within 24 hours.,Manga Canon,,83,"
                            8.1
                        "
84,4,13,"""Kakuzu's Abilities""Transcription: ""Kakuzu no nōryoku"" (Japanese: 角都の能力)",Kiyomu Fukuda,Yuka Miyata,13/11/2008,25/06/2011,8.5,488,"Shikamaru and Choji deliver the first blows in the battle, but they are thwarted by Kakuzu's power. Kakashi counters Kakuzu's trick and brings him down.",Manga Canon,,84,"
                            8
                        "
85,4,14,"""The Terrifying Secret""Transcription: ""Osorubeki himitsu"" (Japanese: 恐るべき秘密)",Toshiyuki Tsuru,Toshiyuki Tsuru,20/11/2008,02/07/2011,8.6,576,Shikamaru and his comrades desperately counter the Fire Jutsu offensive. But continuously using his Rasengan and Lightning Blade takes its toll on Kakashi.,Manga Canon,,85,"
                            8.8
                        "
86,4,15,"""Shikamaru's Genius""Transcription: ""Shikamaru no Sai"" (Japanese: シカマルの才)",Masaaki Kumagai,Yuka Miyata,04/12/2008,09/07/2011,8.8,659,"Shikamaru battles Hidan alone, deep in the forest, and after depleting his chakra, sustains a deep wound. Hidan draws his blood as he lies near death.",Manga Canon,,86,"
                            9.3
                        "
87,4,16,"""When You Curse Someone, You Dig Your Own Grave""Transcription: ""Hito o norowaba ana futatsu"" (Japanese: 人を呪わば穴二つ)",Shigeharu Takahashi,Yasuyuki Suzuki,04/12/2008,16/07/2011,8.9,833,"Naruto and Team Kakashi arrive just in time to assist Team Asuma. Sakura and Sai are ordered by Kakashi to aid Shikamaru, who is battling alone.",Manga Canon,,87,"
                            8.1
                        "
88,4,17,"""Wind Style: Rasen Shuriken!""Transcription: ""Fūton: Rasenshuriken!"" (Japanese: 風遁·螺旋手裏剣!)",Atsushi Nigorikawa,Yasuyuki Suzuki,11/12/2008,23/07/2011,8.8,684,"Ino and Choji are amazed at Naruto's new jutsu, and Kakuzu senses the danger that it poses. But when released, the new jutsu dissipates before it reaches Kakuzu.",Manga Canon,,88,"
                            7.9
                        "
89,5,1,"""The Price of Power""Transcription: ""Chikara no daishō"" (Japanese: 力の代償)",Hiroshi Kimura,Yuka Miyata,18/12/2008,30/07/2011,7.6,385,Naruto's uses his new jutsu to bring Kakuzu down. Tsunade welcomes the teams back home and orders Team Asuma and Team Yamato to take a break.,Mixed Canon/Filler,,89,"
                            7.9
                        "
90,5,2,"""A Shinobi's Determination""Transcription: ""Shinobi no ketsui"" (Japanese: 忍の決意)",Yuki Kinoshita,Junki Takegami,25/12/2008,06/08/2011,6.8,323,"Just when peace has finally settled over the village word comes that Orochimaru's hideout has been found. Tsunade orders Kakashi, Hinata, Shino, and Kiba on a search mission to find the hideout.",Mixed Canon/Filler,,90,"
                            8.9
                        "
91,5,3,"""Orochimaru's Hideout Discovered""Transcription: ""Hakken — Orochimaru no ajito"" (Japanese: 発見 大蛇丸のアジト)",Yuusuke Onoda,Masahiro Hikokubo,08/01/2009,20/08/2011,6.9,295,"Naruto and Jiraiya arrive at the hot springs resort. As an alternative to the Wind Style: Rasen Shuriken, Jiraiya suggests to Naruto the collaboration ninjutsu with a ninja toad.",Filler,,91,"
                            8.1
                        "
